airport,avg_delay_rate,avg_delay_minutes,delay_volatility,gdp_proxy_score
ATL,0.13795,53.855,0.31819805153394587,0.13795
BOS,0.1805,50.34,1.4424978336205563,0.1805
BWI,0.1736,45.42,0.5232590180780465,0.1736
CLT,0.1441,50.26,1.5980613254815978,0.1441
DCA,0.17815,52.165,3.4577521600022183,0.17815
DEN,0.1686,52.28,3.1254119728445406,0.1686
DFW,0.1705,57.245000000000005,0.3818376618407351,0.1705
DTW,0.13995,54.485,0.1767766952966369,0.13995
EWR,0.18030000000000002,62.894999999999996,2.107178207935911,0.18030000000000002
FLL,0.20595,50.31,0.28991378028648584,0.20595
HNL,0.15114999999999998,76.61500000000001,1.5627059864222688,0.15114999999999998
IAD,0.20045000000000002,56.14,1.1242997820866092,0.20045000000000002
IAH,0.17105,55.8,0.34648232278140967,0.17105
JFK,0.1548,66.795,0.16970562748477094,0.1548
LAS,0.20105,46.614999999999995,1.3647160876900366,0.20105
LAX,0.17759999999999998,48.885000000000005,1.3576450198781687,0.17759999999999998
LGA,0.17295000000000002,56.55,2.9344931419241718,0.17295000000000002
MCO,0.18989999999999999,51.11,0.3535533905932738,0.18989999999999999
MDW,0.19685000000000002,46.035,0.9970205614730309,0.19685000000000002
MEM,0.22519999999999998,40.54,0.5232590180780465,0.22519999999999998
MIA,0.17434999999999998,50.925,0.1484924240491756,0.17434999999999998
MSP,0.15375,52.285,0.049497474683058526,0.15375
ORD,0.179,57.565,2.2203152929257595,0.179
PHL,0.1808,49.894999999999996,0.5374011537017785,0.1808
PHX,0.1484,44.63,0.0848528137423864,0.1484
SAN,0.20905,44.875,0.40305086527633227,0.20905
SEA,0.1573,47.14,0.5091168824543141,0.1573
SFO,0.22594999999999998,50.105000000000004,3.245620125646252,0.22594999999999998
SLC,0.14925,45.635,0.5020458146424487,0.14925
TPA,0.213,48.875,0.09899494936611705,0.213
Total :,0.1732,52.61,,0.1732
