rank,sequence,airport_A,airport_B,cascade_probability,risk_level
1,MIA → DFW → CID,MIA,CID,0.7437,CRITICAL
2,MIA → DFW → ICT,MIA,ICT,0.633,CRITICAL
3,MIA → DFW → ALB,MIA,ALB,0.6173,CRITICAL
4,JFK → DFW → CID,JFK,CID,0.5889,HIGH
5,EWR → DFW → CID,EWR,CID,0.5815,HIGH
6,CLT → DFW → CID,CLT,CID,0.5619,HIGH
7,BHM → DFW → EYW,BHM,EYW,0.5617,HIGH
8,ORD → DFW → GUC,ORD,GUC,0.5612,HIGH
9,BHM → DFW → SAV,BHM,SAV,0.5556,HIGH
10,MIA → DFW → LIT,MIA,LIT,0.55,HIGH
11,BHM → DFW → MDT,BHM,MDT,0.5492,HIGH
12,PNS → DFW → CID,PNS,CID,0.54,HIGH
13,BHM → DFW → SAT,BHM,SAT,0.5352,HIGH
14,SYR → DFW → CID,SYR,CID,0.5325,HIGH
15,BHM → DFW → SJU,BHM,SJU,0.5318,HIGH
16,BHM → DFW → BUR,BHM,BUR,0.5301,HIGH
17,BHM → DFW → CID,BHM,CID,0.5288,HIGH
18,MFE → DFW → CID,MFE,CID,0.5219,HIGH
19,PNS → DFW → MDT,PNS,MDT,0.5218,HIGH
20,PHL → DFW → CID,PHL,CID,0.5184,HIGH
21,BHM → DFW → OMA,BHM,OMA,0.5184,HIGH
22,MIA → DFW → BHM,MIA,BHM,0.5182,HIGH
23,CLT → DFW → CAE,CLT,CAE,0.5182,HIGH
24,BHM → DFW → ALB,BHM,ALB,0.5179,HIGH
25,BHM → DFW → MFE,BHM,MFE,0.5135,HIGH
26,BHM → DFW → LIT,BHM,LIT,0.5124,HIGH
27,EYW → DFW → GUC,EYW,GUC,0.5119,HIGH
28,EYW → DFW → ALB,EYW,ALB,0.5111,HIGH
29,MCO → DFW → LIT,MCO,LIT,0.509,HIGH
30,EYW → DFW → DAB,EYW,DAB,0.5074,HIGH
31,AUS → DFW → CID,AUS,CID,0.5067,HIGH
32,ALB → DFW → CID,ALB,CID,0.5052,HIGH
33,ORD → DFW → ICT,ORD,ICT,0.5035,HIGH
34,LAX → DFW → GUC,LAX,GUC,0.4979,HIGH
35,HDN → DFW → ECP,HDN,ECP,0.497,HIGH
36,MCO → DFW → CID,MCO,CID,0.4944,HIGH
37,BHM → DFW → ECP,BHM,ECP,0.4935,HIGH
38,MIA → DFW → MFE,MIA,MFE,0.4925,HIGH
39,STL → DFW → CID,STL,CID,0.4905,HIGH
40,CAE → DFW → GSP,CAE,GSP,0.4893,HIGH
41,ORD → DFW → ALB,ORD,ALB,0.4887,HIGH
42,ILM → DFW → CID,ILM,CID,0.4875,HIGH
43,EYW → DFW → SJU,EYW,SJU,0.4864,HIGH
44,CAE → DFW → SAV,CAE,SAV,0.4859,HIGH
45,PNS → DFW → LIT,PNS,LIT,0.4854,HIGH
46,PNS → DFW → MFE,PNS,MFE,0.4854,HIGH
47,BHM → DFW → RIC,BHM,RIC,0.4828,HIGH
48,AUS → DFW → ECP,AUS,ECP,0.4822,HIGH
49,BHM → DFW → MSY,BHM,MSY,0.4808,HIGH
50,LIT → DFW → CID,LIT,CID,0.4797,HIGH
51,EGE → DFW → GUC,EGE,GUC,0.4791,HIGH
52,OKC → DFW → CID,OKC,CID,0.4785,HIGH
53,BHM → DFW → MSN,BHM,MSN,0.4782,HIGH
54,EYW → DFW → SAT,EYW,SAT,0.4769,HIGH
55,EYW → DFW → ECP,EYW,ECP,0.4758,HIGH
56,SRQ → DFW → GUC,SRQ,GUC,0.4739,HIGH
57,PNS → DFW → ALB,PNS,ALB,0.473,HIGH
58,CID → DFW → GUC,CID,GUC,0.4721,HIGH
59,LAX → DFW → ECP,LAX,ECP,0.4707,HIGH
60,EYW → DFW → MDT,EYW,MDT,0.4707,HIGH
61,BWI → DFW → GUC,BWI,GUC,0.4703,HIGH
62,BHM → DFW → RSW,BHM,RSW,0.4702,HIGH
63,PNS → DFW → ECP,PNS,ECP,0.4698,HIGH
64,ICT → DFW → SAV,ICT,SAV,0.4696,HIGH
65,PHL → DFW → ICT,PHL,ICT,0.4687,HIGH
66,PNS → DFW → SAV,PNS,SAV,0.468,HIGH
67,EUG → DFW → BHM,EUG,BHM,0.4672,HIGH
68,ORD → DFW → MDT,ORD,MDT,0.4649,HIGH
69,LIT → DFW → ECP,LIT,ECP,0.4642,HIGH
70,FLL → DFW → CID,FLL,CID,0.4631,HIGH
71,BHM → DFW → JAC,BHM,JAC,0.4616,HIGH
72,BNA → DFW → CID,BNA,CID,0.4599,HIGH
73,BHM → DFW → SYR,BHM,SYR,0.4596,HIGH
74,MIA → DFW → DSM,MIA,DSM,0.4591,HIGH
75,CAE → DFW → CID,CAE,CID,0.4588,HIGH
76,MIA → DFW → RIC,MIA,RIC,0.4571,HIGH
77,ILM → DFW → MDT,ILM,MDT,0.4566,HIGH
78,CAE → DFW → LIT,CAE,LIT,0.4552,HIGH
79,EYW → DFW → LIT,EYW,LIT,0.4542,HIGH
80,CLT → DFW → ECP,CLT,ECP,0.453,HIGH
81,FSD → DFW → CID,FSD,CID,0.4514,HIGH
82,CHS → DFW → CID,CHS,CID,0.4504,HIGH
83,TVC → DFW → GUC,TVC,GUC,0.4502,HIGH
84,AUS → DFW → MDT,AUS,MDT,0.4499,ELEVATED
85,EYW → DFW → ICT,EYW,ICT,0.4495,ELEVATED
86,TVC → DFW → SAV,TVC,SAV,0.4494,ELEVATED
87,MFE → DFW → MDT,MFE,MDT,0.4493,ELEVATED
88,HDN → DFW → CID,HDN,CID,0.4487,ELEVATED
89,EYW → DFW → MEM,EYW,MEM,0.447,ELEVATED
90,LAX → DFW → CID,LAX,CID,0.4462,ELEVATED
91,SAV → DFW → TUL,SAV,TUL,0.445,ELEVATED
92,STL → DFW → ALB,STL,ALB,0.4448,ELEVATED
93,MCO → DFW → ICT,MCO,ICT,0.444,ELEVATED
94,ORD → DFW → SJU,ORD,SJU,0.4433,ELEVATED
95,CAE → DFW → RSW,CAE,RSW,0.4429,ELEVATED
96,LAX → DFW → ICT,LAX,ICT,0.4422,ELEVATED
97,EUG → DFW → ECP,EUG,ECP,0.4411,ELEVATED
98,EYW → DFW → CID,EYW,CID,0.4399,ELEVATED
99,AUS → DFW → SJU,AUS,SJU,0.4393,ELEVATED
100,JFK → DFW → GUC,JFK,GUC,0.4381,ELEVATED
101,MIA → DFW → BFL,MIA,BFL,0.4369,ELEVATED
102,MFE → DFW → LIT,MFE,LIT,0.4362,ELEVATED
103,CAE → DFW → SJU,CAE,SJU,0.4361,ELEVATED
104,EUG → DFW → RSW,EUG,RSW,0.4358,ELEVATED
105,JFK → DFW → ICT,JFK,ICT,0.4355,ELEVATED
106,MIA → DFW → CAE,MIA,CAE,0.4352,ELEVATED
107,MFE → DFW → SJU,MFE,SJU,0.4346,ELEVATED
108,MIA → DFW → GUC,MIA,GUC,0.4342,ELEVATED
109,JFK → DFW → LIT,JFK,LIT,0.434,ELEVATED
110,MCO → DFW → SAV,MCO,SAV,0.4336,ELEVATED
111,SDF → DFW → GUC,SDF,GUC,0.4323,ELEVATED
112,TPA → DFW → CID,TPA,CID,0.4318,ELEVATED
113,EYW → DFW → HNL,EYW,HNL,0.4315,ELEVATED
114,CAE → DFW → ELP,CAE,ELP,0.4314,ELEVATED
115,MRY → DFW → LEX,MRY,LEX,0.431,ELEVATED
116,RSW → DFW → CID,RSW,CID,0.431,ELEVATED
117,SAV → DFW → SJU,SAV,SJU,0.4309,ELEVATED
118,EGE → DFW → BUR,EGE,BUR,0.4308,ELEVATED
119,ALB → DFW → ECP,ALB,ECP,0.4302,ELEVATED
120,EUG → DFW → SAV,EUG,SAV,0.43,ELEVATED
121,EUG → DFW → CID,EUG,CID,0.4299,ELEVATED
122,CLT → DFW → GUC,CLT,GUC,0.4298,ELEVATED
123,DSM → DFW → SJU,DSM,SJU,0.4289,ELEVATED
124,PNS → DFW → ELP,PNS,ELP,0.4287,ELEVATED
125,MIA → DFW → SJU,MIA,SJU,0.4283,ELEVATED
126,BHM → DFW → SNA,BHM,SNA,0.4272,ELEVATED
127,BHM → DFW → LEX,BHM,LEX,0.4272,ELEVATED
128,AVL → DFW → ICT,AVL,ICT,0.4257,ELEVATED
129,MRY → DFW → BHM,MRY,BHM,0.4256,ELEVATED
130,ORD → DFW → PDX,ORD,PDX,0.4247,ELEVATED
131,RIC → DFW → GUC,RIC,GUC,0.4247,ELEVATED
132,TVC → DFW → ICT,TVC,ICT,0.4247,ELEVATED
133,BUF → DFW → SAV,BUF,SAV,0.4243,ELEVATED
134,MIA → DFW → OKC,MIA,OKC,0.4243,ELEVATED
135,DAB → DFW → GUC,DAB,GUC,0.4237,ELEVATED
136,MCO → DFW → BFL,MCO,BFL,0.4231,ELEVATED
137,CLT → DFW → BHM,CLT,BHM,0.423,ELEVATED
138,ALB → DFW → MDT,ALB,MDT,0.423,ELEVATED
139,AUS → DFW → MFE,AUS,MFE,0.4224,ELEVATED
140,SAT → DFW → CID,SAT,CID,0.4224,ELEVATED
141,BHM → DFW → DSM,BHM,DSM,0.4223,ELEVATED
142,EYW → DFW → ELP,EYW,ELP,0.421,ELEVATED
143,EYW → DFW → BFL,EYW,BFL,0.4207,ELEVATED
144,PHL → DFW → ALB,PHL,ALB,0.4203,ELEVATED
145,AUS → DFW → ELP,AUS,ELP,0.4202,ELEVATED
146,LAX → DFW → SJU,LAX,SJU,0.4192,ELEVATED
147,CAE → DFW → MFE,CAE,MFE,0.4189,ELEVATED
148,LIT → DFW → GUC,LIT,GUC,0.4187,ELEVATED
149,CLT → DFW → SJU,CLT,SJU,0.4185,ELEVATED
150,SAT → DFW → ALB,SAT,ALB,0.4184,ELEVATED
151,DEN → DFW → ALB,DEN,ALB,0.4183,ELEVATED
152,MIA → DFW → MDT,MIA,MDT,0.418,ELEVATED
153,MCO → DFW → SJU,MCO,SJU,0.418,ELEVATED
154,SAV → DFW → GUC,SAV,GUC,0.418,ELEVATED
155,ELP → DFW → CID,ELP,CID,0.4175,ELEVATED
156,EUG → DFW → CAE,EUG,CAE,0.4163,ELEVATED
157,EUG → DFW → GRR,EUG,GRR,0.4162,ELEVATED
158,AUS → DFW → SAV,AUS,SAV,0.4161,ELEVATED
159,TVC → DFW → ORD,TVC,ORD,0.4156,ELEVATED
160,DEN → DFW → CID,DEN,CID,0.415,ELEVATED
161,GSP → DFW → LEX,GSP,LEX,0.4149,ELEVATED
162,SAV → DFW → ICT,SAV,ICT,0.4148,ELEVATED
163,BHM → DFW → OKC,BHM,OKC,0.4141,ELEVATED
164,AVL → DFW → GUC,AVL,GUC,0.4135,ELEVATED
165,CAE → DFW → MSN,CAE,MSN,0.4131,ELEVATED
166,STL → DFW → MDT,STL,MDT,0.4129,ELEVATED
167,ORD → DFW → CID,ORD,CID,0.4119,ELEVATED
168,GSP → DFW → BHM,GSP,BHM,0.4113,ELEVATED
169,EGE → DFW → OKC,EGE,OKC,0.4111,ELEVATED
170,ALB → DFW → GUC,ALB,GUC,0.4111,ELEVATED
171,AVL → DFW → SAV,AVL,SAV,0.4106,ELEVATED
172,EYW → DFW → SLC,EYW,SLC,0.4105,ELEVATED
173,MFE → DFW → SAV,MFE,SAV,0.4104,ELEVATED
174,EGE → DFW → IAH,EGE,IAH,0.4097,ELEVATED
175,HDN → DFW → LEX,HDN,LEX,0.4094,ELEVATED
176,EGE → DFW → ORD,EGE,ORD,0.4088,ELEVATED
177,MRY → DFW → RSW,MRY,RSW,0.4086,ELEVATED
178,EYW → DFW → DEN,EYW,DEN,0.4082,ELEVATED
179,SYR → DFW → ECP,SYR,ECP,0.4081,ELEVATED
180,MCO → DFW → ALB,MCO,ALB,0.4078,ELEVATED
181,AUS → DFW → ALB,AUS,ALB,0.4052,ELEVATED
182,MRY → DFW → CAE,MRY,CAE,0.405,ELEVATED
183,AVL → DFW → SJU,AVL,SJU,0.4047,ELEVATED
184,DCA → DFW → GUC,DCA,GUC,0.4045,ELEVATED
185,HDN → DFW → SAV,HDN,SAV,0.4042,ELEVATED
186,EUG → DFW → OMA,EUG,OMA,0.4041,ELEVATED
187,DEN → DFW → MDT,DEN,MDT,0.4039,ELEVATED
188,EYW → DFW → GSP,EYW,GSP,0.4039,ELEVATED
189,AVL → DFW → MEM,AVL,MEM,0.4039,ELEVATED
190,DTW → DFW → CID,DTW,CID,0.4039,ELEVATED
191,HDN → DFW → MFE,HDN,MFE,0.4037,ELEVATED
192,CAE → DFW → GSO,CAE,GSO,0.4034,ELEVATED
193,ELP → DFW → ECP,ELP,ECP,0.4034,ELEVATED
194,CLT → DFW → ICT,CLT,ICT,0.4034,ELEVATED
195,XNA → DFW → HNL,XNA,HNL,0.4033,ELEVATED
196,SAT → DFW → LIT,SAT,LIT,0.4028,ELEVATED
197,JFK → DFW → SFO,JFK,SFO,0.4023,ELEVATED
198,MRY → DFW → SAV,MRY,SAV,0.402,ELEVATED
199,LGA → DFW → GSP,LGA,GSP,0.4018,ELEVATED
200,CLT → DFW → TUL,CLT,TUL,0.4015,ELEVATED
201,GSO → DFW → SAV,GSO,SAV,0.4014,ELEVATED
202,EYW → DFW → ORD,EYW,ORD,0.4009,ELEVATED
203,ORD → DFW → STS,ORD,STS,0.4005,ELEVATED
204,DTW → DFW → ICT,DTW,ICT,0.4003,ELEVATED
205,OKC → DFW → MDT,OKC,MDT,0.3998,ELEVATED
206,EUG → DFW → ORD,EUG,ORD,0.3995,ELEVATED
207,CID → DFW → ORD,CID,ORD,0.3992,ELEVATED
208,MSP → DFW → GUC,MSP,GUC,0.3992,ELEVATED
209,GSO → DFW → EUG,GSO,EUG,0.3991,ELEVATED
210,CAE → DFW → SNA,CAE,SNA,0.399,ELEVATED
211,EYW → DFW → LGA,EYW,LGA,0.3985,ELEVATED
212,EYW → DFW → BOS,EYW,BOS,0.3981,ELEVATED
213,GRR → DFW → BHM,GRR,BHM,0.398,ELEVATED
214,SRQ → DFW → ORD,SRQ,ORD,0.3979,ELEVATED
215,TVC → DFW → IAH,TVC,IAH,0.3976,ELEVATED
216,GSP → DFW → CAE,GSP,CAE,0.3972,ELEVATED
217,ALB → DFW → ELP,ALB,ELP,0.3972,ELEVATED
218,EWR → DFW → ICT,EWR,ICT,0.397,ELEVATED
219,SEA → DFW → CID,SEA,CID,0.3966,ELEVATED
220,BHM → DFW → ELP,BHM,ELP,0.3963,ELEVATED
221,CAE → DFW → MSY,CAE,MSY,0.396,ELEVATED
222,CAE → DFW → MDT,CAE,MDT,0.3959,ELEVATED
223,RSW → DFW → JFK,RSW,JFK,0.3954,ELEVATED
224,ICT → DFW → CID,ICT,CID,0.3953,ELEVATED
225,ICT → DFW → OMA,ICT,OMA,0.3948,ELEVATED
226,SAN → DFW → ICT,SAN,ICT,0.3948,ELEVATED
227,EYW → DFW → CMH,EYW,CMH,0.3946,ELEVATED
228,LGA → DFW → ICT,LGA,ICT,0.3946,ELEVATED
229,STL → DFW → LIT,STL,LIT,0.3945,ELEVATED
230,MSN → DFW → GUC,MSN,GUC,0.3945,ELEVATED
231,HDN → DFW → BHM,HDN,BHM,0.3944,ELEVATED
232,JFK → DFW → ALB,JFK,ALB,0.3941,ELEVATED
233,EYW → DFW → JAC,EYW,JAC,0.3941,ELEVATED
234,JAC → DFW → SJU,JAC,SJU,0.394,ELEVATED
235,PNS → DFW → EYW,PNS,EYW,0.3939,ELEVATED
236,CLT → DFW → MFE,CLT,MFE,0.3939,ELEVATED
237,EWR → DFW → LIT,EWR,LIT,0.3935,ELEVATED
238,DSM → DFW → ICT,DSM,ICT,0.3933,ELEVATED
239,STL → DFW → SAV,STL,SAV,0.3932,ELEVATED
240,GSP → DFW → TUL,GSP,TUL,0.3931,ELEVATED
241,LGA → DFW → SJU,LGA,SJU,0.3931,ELEVATED
242,MFE → DFW → MSY,MFE,MSY,0.393,ELEVATED
243,MRY → DFW → DSM,MRY,DSM,0.3929,ELEVATED
244,SAT → DFW → GUC,SAT,GUC,0.3924,ELEVATED
245,HDN → DFW → RSW,HDN,RSW,0.3923,ELEVATED
246,ORD → DFW → IAH,ORD,IAH,0.3922,ELEVATED
247,SLC → DFW → GUC,SLC,GUC,0.3918,ELEVATED
248,ALB → DFW → SJU,ALB,SJU,0.3918,ELEVATED
249,AUS → DFW → LIT,AUS,LIT,0.3916,ELEVATED
250,EYW → DFW → TUS,EYW,TUS,0.3912,ELEVATED
251,MSN → DFW → ECP,MSN,ECP,0.3908,ELEVATED
252,LGA → DFW → ECP,LGA,ECP,0.3904,ELEVATED
253,CHS → DFW → LIT,CHS,LIT,0.3903,ELEVATED
254,GSO → DFW → SJU,GSO,SJU,0.3902,ELEVATED
255,MRY → DFW → EYW,MRY,EYW,0.39,ELEVATED
256,EUG → DFW → BUR,EUG,BUR,0.3897,ELEVATED
257,EYW → DFW → LAS,EYW,LAS,0.3896,ELEVATED
258,BHM → DFW → ICT,BHM,ICT,0.3896,ELEVATED
259,EWR → DFW → BFL,EWR,BFL,0.3892,ELEVATED
260,DSM → DFW → SAV,DSM,SAV,0.3891,ELEVATED
261,BHM → DFW → DAB,BHM,DAB,0.3889,ELEVATED
262,JAC → DFW → PHL,JAC,PHL,0.3885,ELEVATED
263,MCO → DFW → MSY,MCO,MSY,0.3882,ELEVATED
264,JFK → DFW → EWR,JFK,EWR,0.3878,ELEVATED
265,ILM → DFW → ALB,ILM,ALB,0.3875,ELEVATED
266,CAE → DFW → BHM,CAE,BHM,0.3871,ELEVATED
267,AUS → DFW → RSW,AUS,RSW,0.3868,ELEVATED
268,CVG → DFW → GUC,CVG,GUC,0.3867,ELEVATED
269,CAE → DFW → ECP,CAE,ECP,0.3863,ELEVATED
270,CAE → DFW → JAC,CAE,JAC,0.386,ELEVATED
271,EYW → DFW → OKC,EYW,OKC,0.3859,ELEVATED
272,EYW → DFW → SAV,EYW,SAV,0.3859,ELEVATED
273,TUS → DFW → RSW,TUS,RSW,0.3857,ELEVATED
274,LAX → DFW → SAT,LAX,SAT,0.3853,ELEVATED
275,BWI → DFW → SJU,BWI,SJU,0.3852,ELEVATED
276,CVG → DFW → SAV,CVG,SAV,0.3851,ELEVATED
277,SRQ → DFW → IAH,SRQ,IAH,0.3851,ELEVATED
278,STL → DFW → LEX,STL,LEX,0.385,ELEVATED
279,SDF → DFW → ORD,SDF,ORD,0.3848,ELEVATED
280,CVG → DFW → ICT,CVG,ICT,0.3848,ELEVATED
281,MFE → DFW → ECP,MFE,ECP,0.3847,ELEVATED
282,SYR → DFW → LIT,SYR,LIT,0.3847,ELEVATED
283,EYW → DFW → SFO,EYW,SFO,0.3846,ELEVATED
284,RDU → DFW → EWR,RDU,EWR,0.3845,ELEVATED
285,SYR → DFW → MDT,SYR,MDT,0.3845,ELEVATED
286,CVG → DFW → SJU,CVG,SJU,0.3844,ELEVATED
287,MYR → DFW → JFK,MYR,JFK,0.3844,ELEVATED
288,OKC → DFW → ECP,OKC,ECP,0.3842,ELEVATED
289,LIT → DFW → ELP,LIT,ELP,0.3834,ELEVATED
290,ORD → DFW → LIT,ORD,LIT,0.3829,ELEVATED
291,DSM → DFW → ECP,DSM,ECP,0.3828,ELEVATED
292,SBP → DFW → ICT,SBP,ICT,0.3821,ELEVATED
293,PNS → DFW → SNA,PNS,SNA,0.382,ELEVATED
294,ORD → DFW → LBB,ORD,LBB,0.3818,ELEVATED
295,LAX → DFW → BFL,LAX,BFL,0.3816,ELEVATED
296,ORD → DFW → AMA,ORD,AMA,0.3815,ELEVATED
297,SAN → DFW → ALB,SAN,ALB,0.3814,ELEVATED
298,TVC → DFW → LAS,TVC,LAS,0.3813,ELEVATED
299,MFE → DFW → JAC,MFE,JAC,0.3813,ELEVATED
300,EGE → DFW → LBB,EGE,LBB,0.3813,ELEVATED
301,EYW → DFW → PHL,EYW,PHL,0.381,ELEVATED
302,ORD → DFW → SAN,ORD,SAN,0.381,ELEVATED
303,LGA → DFW → GUC,LGA,GUC,0.3808,ELEVATED
304,TPA → DFW → ALB,TPA,ALB,0.3807,ELEVATED
305,MCO → DFW → RIC,MCO,RIC,0.3804,ELEVATED
306,BZN → DFW → SJU,BZN,SJU,0.3803,ELEVATED
307,GSP → DFW → SAV,GSP,SAV,0.3801,ELEVATED
308,EGE → DFW → SAV,EGE,SAV,0.3794,ELEVATED
309,JAC → DFW → BFL,JAC,BFL,0.3789,ELEVATED
310,SBP → DFW → SAV,SBP,SAV,0.3785,ELEVATED
311,AVL → DFW → FSD,AVL,FSD,0.3784,ELEVATED
312,AVL → DFW → HNL,AVL,HNL,0.3781,ELEVATED
313,ILM → DFW → LIT,ILM,LIT,0.3779,ELEVATED
314,XNA → DFW → ICT,XNA,ICT,0.3779,ELEVATED
315,ORD → DFW → SAV,ORD,SAV,0.3778,ELEVATED
316,EWR → DFW → RIC,EWR,RIC,0.3777,ELEVATED
317,EUG → DFW → VPS,EUG,VPS,0.3773,ELEVATED
318,CAE → DFW → TYS,CAE,TYS,0.3771,ELEVATED
319,MRY → DFW → OMA,MRY,OMA,0.3771,ELEVATED
320,MFE → DFW → ALB,MFE,ALB,0.377,ELEVATED
321,XNA → DFW → EWR,XNA,EWR,0.377,ELEVATED
322,ILM → DFW → SAV,ILM,SAV,0.3767,ELEVATED
323,IAD → DFW → GUC,IAD,GUC,0.3766,ELEVATED
324,JFK → DFW → MDT,JFK,MDT,0.3764,ELEVATED
325,EWR → DFW → MDT,EWR,MDT,0.3762,ELEVATED
326,LAX → DFW → LIT,LAX,LIT,0.3758,ELEVATED
327,BUF → DFW → ICT,BUF,ICT,0.3756,ELEVATED
328,ILM → DFW → ELP,ILM,ELP,0.3754,ELEVATED
329,DAB → DFW → CID,DAB,CID,0.3752,ELEVATED
330,MKE → DFW → JFK,MKE,JFK,0.3748,ELEVATED
331,RSW → DFW → ECP,RSW,ECP,0.3741,ELEVATED
332,AUS → DFW → EYW,AUS,EYW,0.3741,ELEVATED
333,BHM → DFW → GUC,BHM,GUC,0.3741,ELEVATED
334,FSD → DFW → GUC,FSD,GUC,0.3738,ELEVATED
335,CID → DFW → MDT,CID,MDT,0.3736,ELEVATED
336,TPA → DFW → ICT,TPA,ICT,0.3736,ELEVATED
337,MRY → DFW → MFE,MRY,MFE,0.3733,ELEVATED
338,MSY → DFW → CID,MSY,CID,0.3729,ELEVATED
339,AMA → DFW → ORD,AMA,ORD,0.3727,ELEVATED
340,XNA → DFW → IAD,XNA,IAD,0.3727,ELEVATED
341,EUG → DFW → MFE,EUG,MFE,0.3724,ELEVATED
342,AUS → DFW → SAT,AUS,SAT,0.3723,ELEVATED
343,MRY → DFW → OKC,MRY,OKC,0.3722,ELEVATED
344,BHM → DFW → GSP,BHM,GSP,0.3718,ELEVATED
345,MRY → DFW → RIC,MRY,RIC,0.3709,ELEVATED
346,RDU → DFW → IAD,RDU,IAD,0.3704,ELEVATED
347,SYR → DFW → SAV,SYR,SAV,0.3704,ELEVATED
348,ORD → DFW → SMF,ORD,SMF,0.3703,ELEVATED
349,ORD → DFW → ECP,ORD,ECP,0.3701,ELEVATED
350,PNS → DFW → MSY,PNS,MSY,0.3697,ELEVATED
351,AVL → DFW → ORD,AVL,ORD,0.3694,ELEVATED
352,LIT → DFW → MDT,LIT,MDT,0.3694,ELEVATED
353,BWI → DFW → BFL,BWI,BFL,0.3694,ELEVATED
354,BWI → DFW → ORD,BWI,ORD,0.3693,ELEVATED
355,EYW → DFW → EWR,EYW,EWR,0.369,ELEVATED
356,STL → DFW → BUR,STL,BUR,0.3689,ELEVATED
357,MFE → DFW → EYW,MFE,EYW,0.3688,ELEVATED
358,PHL → DFW → CAE,PHL,CAE,0.3688,ELEVATED
359,EWR → DFW → SJU,EWR,SJU,0.3685,ELEVATED
360,GSO → DFW → ICT,GSO,ICT,0.3684,ELEVATED
361,TVC → DFW → RSW,TVC,RSW,0.3684,ELEVATED
362,AMA → DFW → SAV,AMA,SAV,0.3682,ELEVATED
363,FAT → DFW → CID,FAT,CID,0.3679,ELEVATED
364,OKC → DFW → ALB,OKC,ALB,0.3679,ELEVATED
365,OKC → DFW → ELP,OKC,ELP,0.3673,ELEVATED
366,ORD → DFW → BFL,ORD,BFL,0.3672,ELEVATED
367,RIC → DFW → HNL,RIC,HNL,0.3671,ELEVATED
368,SDF → DFW → IAH,SDF,IAH,0.3669,ELEVATED
369,RIC → DFW → JFK,RIC,JFK,0.3668,ELEVATED
370,PHL → DFW → GUC,PHL,GUC,0.3667,ELEVATED
371,PNS → DFW → DAB,PNS,DAB,0.3665,ELEVATED
372,BWI → DFW → ICT,BWI,ICT,0.3665,ELEVATED
373,DSM → DFW → BFL,DSM,BFL,0.3664,ELEVATED
374,GSO → DFW → VPS,GSO,VPS,0.3663,ELEVATED
375,STL → DFW → OKC,STL,OKC,0.3663,ELEVATED
376,TVC → DFW → SJU,TVC,SJU,0.3658,ELEVATED
377,MYR → DFW → SAN,MYR,SAN,0.3657,ELEVATED
378,PHL → DFW → TUL,PHL,TUL,0.3655,ELEVATED
379,EYW → DFW → JFK,EYW,JFK,0.3653,ELEVATED
380,CLT → DFW → ELP,CLT,ELP,0.3651,ELEVATED
381,AMA → DFW → JFK,AMA,JFK,0.365,ELEVATED
382,SAN → DFW → CID,SAN,CID,0.3647,ELEVATED
383,HDN → DFW → EYW,HDN,EYW,0.3645,ELEVATED
384,XNA → DFW → JFK,XNA,JFK,0.3637,ELEVATED
385,CLT → DFW → ORD,CLT,ORD,0.3637,ELEVATED
386,MRY → DFW → BUR,MRY,BUR,0.3637,ELEVATED
387,MRY → DFW → CID,MRY,CID,0.3634,ELEVATED
388,ORF → DFW → CID,ORF,CID,0.3632,ELEVATED
389,MRY → DFW → HNL,MRY,HNL,0.3631,ELEVATED
390,VPS → DFW → GUC,VPS,GUC,0.3629,ELEVATED
391,ORD → DFW → LAS,ORD,LAS,0.3628,ELEVATED
392,JFK → DFW → PHL,JFK,PHL,0.3627,ELEVATED
393,GRR → DFW → ECP,GRR,ECP,0.3626,ELEVATED
394,FAT → DFW → SAV,FAT,SAV,0.3626,ELEVATED
395,STL → DFW → MFE,STL,MFE,0.3623,ELEVATED
396,MYR → DFW → HNL,MYR,HNL,0.3621,ELEVATED
397,LAX → DFW → OKC,LAX,OKC,0.3617,ELEVATED
398,HDN → DFW → DSM,HDN,DSM,0.3615,ELEVATED
399,EGE → DFW → LAS,EGE,LAS,0.3614,ELEVATED
400,EWR → DFW → DSM,EWR,DSM,0.3614,ELEVATED
401,CAE → DFW → CLE,CAE,CLE,0.3611,ELEVATED
402,JFK → DFW → BFL,JFK,BFL,0.361,ELEVATED
403,AVL → DFW → JFK,AVL,JFK,0.3608,ELEVATED
404,EYW → DFW → MCO,EYW,MCO,0.3608,ELEVATED
405,EUG → DFW → RIC,EUG,RIC,0.3601,ELEVATED
406,EUG → DFW → EYW,EUG,EYW,0.36,ELEVATED
407,EYW → DFW → IAH,EYW,IAH,0.3596,ELEVATED
408,AMA → DFW → ATL,AMA,ATL,0.3595,ELEVATED
409,EYW → DFW → BWI,EYW,BWI,0.3594,ELEVATED
410,ICT → DFW → BHM,ICT,BHM,0.359,ELEVATED
411,LGA → DFW → LIT,LGA,LIT,0.3588,ELEVATED
412,MIA → DFW → TUL,MIA,TUL,0.3588,ELEVATED
413,EYW → DFW → PHX,EYW,PHX,0.3587,ELEVATED
414,MRY → DFW → SAT,MRY,SAT,0.3583,ELEVATED
415,EYW → DFW → MSY,EYW,MSY,0.3581,ELEVATED
416,BZN → DFW → ICT,BZN,ICT,0.3581,ELEVATED
417,RDM → DFW → JFK,RDM,JFK,0.3581,ELEVATED
418,STL → DFW → SYR,STL,SYR,0.358,ELEVATED
419,MEM → DFW → GUC,MEM,GUC,0.3578,ELEVATED
