rank,sequence,airport_A,airport_B,cascade_probability,risk_level
12914,SAT → DFW → ILM,SAT,ILM,0.1104,NORMAL
12915,MSY → DFW → MCI,MSY,MCI,0.1104,NORMAL
12916,ORF → DFW → GEG,ORF,GEG,0.1104,NORMAL
12917,FCA → DFW → AUS,FCA,AUS,0.1104,NORMAL
12918,AVL → DFW → BZN,AVL,BZN,0.1102,NORMAL
12919,ICT → DFW → SBP,ICT,SBP,0.1102,NORMAL
12920,SAV → DFW → RNO,SAV,RNO,0.1102,NORMAL
12921,MDT → DFW → MRY,MDT,MRY,0.1102,NORMAL
12922,ILM → DFW → AGS,ILM,AGS,0.1102,NORMAL
12923,RDM → DFW → XNA,RDM,XNA,0.1101,NORMAL
12924,RNO → DFW → HDN,RNO,HDN,0.1101,NORMAL
12925,MYR → DFW → BZN,MYR,BZN,0.1101,NORMAL
12926,SBA → DFW → MSY,SBA,MSY,0.1101,NORMAL
12927,STT → DFW → BDL,STT,BDL,0.1101,NORMAL
12928,AVL → DFW → OGG,AVL,OGG,0.11,NORMAL
12929,AGS → DFW → TUS,AGS,TUS,0.11,NORMAL
12930,CID → DFW → ILM,CID,ILM,0.11,NORMAL
12931,XNA → DFW → GSO,XNA,GSO,0.11,NORMAL
12932,BOI → DFW → OMA,BOI,OMA,0.1099,NORMAL
12933,HNL → DFW → MFE,HNL,MFE,0.1099,NORMAL
12934,GUC → DFW → RIC,GUC,RIC,0.1099,NORMAL
12935,STT → DFW → KOA,STT,KOA,0.1099,NORMAL
12936,OGG → DFW → CAE,OGG,CAE,0.1099,NORMAL
12937,SBA → DFW → AGS,SBA,AGS,0.1099,NORMAL
12938,TYS → DFW → DAB,TYS,DAB,0.1098,NORMAL
12939,TUL → DFW → ORF,TUL,ORF,0.1098,NORMAL
12940,GSO → DFW → COS,GSO,COS,0.1098,NORMAL
12941,MFE → DFW → LGA,MFE,LGA,0.1097,NORMAL
12942,FAT → DFW → FSD,FAT,FSD,0.1097,NORMAL
12943,FSD → DFW → TUS,FSD,TUS,0.1097,NORMAL
12944,AVL → DFW → SBA,AVL,SBA,0.1097,NORMAL
12945,EUG → DFW → FSD,EUG,FSD,0.1097,NORMAL
12946,MYR → DFW → PIT,MYR,PIT,0.1097,NORMAL
12947,SJU → DFW → SMF,SJU,SMF,0.1096,NORMAL
12948,SJU → DFW → MYR,SJU,MYR,0.1096,NORMAL
12949,LEX → DFW → BDL,LEX,BDL,0.1095,NORMAL
12950,XNA → DFW → PIT,XNA,PIT,0.1095,NORMAL
12951,IND → DFW → PDX,IND,PDX,0.1095,NORMAL
12952,CHS → DFW → BDL,CHS,BDL,0.1094,NORMAL
12953,DRO → DFW → XNA,DRO,XNA,0.1093,NORMAL
12954,CHS → DFW → MRY,CHS,MRY,0.1093,NORMAL
12955,XNA → DFW → SMF,XNA,SMF,0.1093,NORMAL
12956,GEG → DFW → GUC,GEG,GUC,0.1093,NORMAL
12957,MYR → DFW → OGG,MYR,OGG,0.1093,NORMAL
12958,FCA → DFW → SAT,FCA,SAT,0.1092,NORMAL
12959,PIT → DFW → STS,PIT,STS,0.1092,NORMAL
12960,ONT → DFW → COS,ONT,COS,0.1092,NORMAL
12961,BDL → DFW → PWM,BDL,PWM,0.1092,NORMAL
12962,IAH → DFW → JFK,IAH,JFK,0.1092,NORMAL
12963,ORF → DFW → LGA,ORF,LGA,0.1091,NORMAL
12964,FSD → DFW → GSO,FSD,GSO,0.1091,NORMAL
12965,PSP → DFW → PNS,PSP,PNS,0.1091,NORMAL
12966,SBA → DFW → BOI,SBA,BOI,0.1091,NORMAL
12967,SJC → DFW → HNL,SJC,HNL,0.109,NORMAL
12968,MCO → DFW → SEA,MCO,SEA,0.109,NORMAL
12969,BUR → DFW → GUC,BUR,GUC,0.109,NORMAL
12970,ALB → DFW → MTJ,ALB,MTJ,0.109,NORMAL
12971,PBI → DFW → ECP,PBI,ECP,0.1089,NORMAL
12972,SMF → DFW → ABQ,SMF,ABQ,0.1089,NORMAL
12973,RIC → DFW → HDN,RIC,HDN,0.1089,NORMAL
12974,RSW → DFW → BFL,RSW,BFL,0.1088,NORMAL
12975,MIA → DFW → JAC,MIA,JAC,0.1088,NORMAL
12976,GUC → DFW → ABQ,GUC,ABQ,0.1087,NORMAL
12977,AUS → DFW → BZN,AUS,BZN,0.1087,NORMAL
12978,CHS → DFW → HSV,CHS,HSV,0.1087,NORMAL
12979,IAH → DFW → VPS,IAH,VPS,0.1087,NORMAL
12980,CVG → DFW → HDN,CVG,HDN,0.1087,NORMAL
12981,MSY → DFW → DSM,MSY,DSM,0.1087,NORMAL
12982,STS → DFW → AMA,STS,AMA,0.1086,NORMAL
12983,SEA → DFW → OMA,SEA,OMA,0.1085,NORMAL
12984,DRO → DFW → SBA,DRO,SBA,0.1085,NORMAL
12985,ECP → DFW → BFL,ECP,BFL,0.1084,NORMAL
12986,MCI → DFW → RNO,MCI,RNO,0.1084,NORMAL
12987,TYS → DFW → BFL,TYS,BFL,0.1084,NORMAL
12988,ELP → DFW → KOA,ELP,KOA,0.1083,NORMAL
12989,TYS → DFW → MKE,TYS,MKE,0.1083,NORMAL
12990,ALB → DFW → FAT,ALB,FAT,0.1082,NORMAL
12991,ONT → DFW → SEA,ONT,SEA,0.1082,NORMAL
12992,GUC → DFW → DEN,GUC,DEN,0.1082,NORMAL
12993,OGG → DFW → AUS,OGG,AUS,0.1082,NORMAL
12994,KOA → DFW → MTJ,KOA,MTJ,0.1081,NORMAL
12995,BOI → DFW → PDX,BOI,PDX,0.1081,NORMAL
12996,TUL → DFW → TPA,TUL,TPA,0.1081,NORMAL
12997,RDU → DFW → DAB,RDU,DAB,0.1081,NORMAL
12998,ANC → DFW → OGG,ANC,OGG,0.1081,NORMAL
12999,PBI → DFW → VPS,PBI,VPS,0.108,NORMAL
