airport,datetime,visibility,wind_speed,storm,ifr,severity,bad_weather
CYXN,2026-04-16T17:00:00.000Z,15.0,17.0,0,0,0,0
CYXP,2026-04-16T17:00:00.000Z,8.0,4.0,1,0,2,1
CYGP,2026-04-16T17:00:00.000Z,15.0,16.0,0,0,0,0
VOVZ,2026-04-16T17:00:00.000Z,2.8,8.0,0,1,1,0
CYGR,2026-04-16T17:00:00.000Z,20.0,7.0,0,0,0,0
DRRN,2026-04-16T17:00:00.000Z,4.97,9.0,0,0,0,0
CYHD,2026-04-16T17:00:00.000Z,9.0,6.0,0,0,0,0
DFOO,2026-04-16T17:00:00.000Z,4.97,5.0,0,0,0,0
SBVH,2026-04-16T17:00:00.000Z,2.49,8.0,1,1,3,1
SBUA,2026-04-16T17:00:00.000Z,4.35,1.0,0,0,0,0
CYYJ,2026-04-16T17:00:00.000Z,30.0,5.0,0,0,0,0
CYMO,2026-04-16T17:00:00.000Z,9.0,3.0,0,0,0,0
HLMS,2026-04-16T17:00:00.000Z,4.97,15.0,0,0,0,0
HLLM,2026-04-16T17:00:00.000Z,3.73,12.0,0,0,0,0
VAPR,2026-04-16T17:00:00.000Z,2.49,5.0,0,1,1,0
CYTZ,2026-04-16T17:00:00.000Z,9.0,0.0,0,0,0,0
SKAS,2026-04-16T17:00:00.000Z,1.55,3.0,1,1,3,1
SKFL,2026-04-16T17:00:00.000Z,4.97,2.0,0,0,0,0
SKGY,2026-04-16T17:00:00.000Z,4.97,4.0,0,0,0,0
CYNA,2026-04-16T17:00:00.000Z,9.0,0.0,0,1,1,0
SKMZ,2026-04-16T17:00:00.000Z,5.59,5.0,0,0,0,0
SKPP,2026-04-16T17:00:00.000Z,4.97,3.0,0,0,0,0
SKPS,2026-04-16T17:00:00.000Z,4.97,3.0,0,0,0,0
SKSA,2026-04-16T17:00:00.000Z,4.35,2.0,1,0,2,1
SKTM,2026-04-16T17:00:00.000Z,4.97,4.0,1,0,2,1
MNPC,2026-04-16T17:00:00.000Z,4.35,6.0,0,0,0,0
MDLR,2026-04-16T17:00:00.000Z,4.97,10.0,0,0,0,0
CYRL,2026-04-16T17:00:00.000Z,15.0,8.0,0,0,0,0
EICK,2026-04-16T17:00:00.000Z,5.59,16.0,1,1,3,1
SLCO,2026-04-16T17:00:00.000Z,4.97,6.0,0,0,0,0
SLSA,2026-04-16T17:00:00.000Z,3.11,6.0,1,0,2,1
VOCB,2026-04-16T17:00:00.000Z,3.11,5.0,0,0,0,0
CYWA,2026-04-16T17:00:00.000Z,4.0,5.0,0,1,1,0
KOLF,2026-04-16T17:00:00.000Z,8.0,10.0,0,0,0,0
CYHI,2026-04-16T17:00:00.000Z,15.0,0.0,0,0,0,0
CYFC,2026-04-16T17:00:00.000Z,9.0,5.0,0,0,0,0
CYMX,2026-04-16T17:00:00.000Z,3.0,4.0,0,0,0,0
CYOW,2026-04-16T17:00:00.000Z,0.63,4.0,0,1,1,0
CYQY,2026-04-16T17:00:00.000Z,1.0,5.0,0,1,1,0
CYUL,2026-04-16T17:00:00.000Z,8.0,4.0,0,1,1,0
CYVR,2026-04-16T17:00:00.000Z,20.0,0.0,0,0,0,0
CYYC,2026-04-16T17:00:00.000Z,0.5,19.0,1,1,3,1
CYYQ,2026-04-16T17:00:00.000Z,15.0,10.0,0,0,0,0
CYYR,2026-04-16T17:00:00.000Z,15.0,10.0,0,0,0,0
CYPD,2026-04-16T17:00:00.000Z,9.0,11.0,0,0,0,0
CZFM,2026-04-16T17:00:00.000Z,15.0,3.0,0,0,0,0
CYAT,2026-04-16T17:00:00.000Z,9.0,13.0,0,0,0,0
CYFR,2026-04-16T17:00:00.000Z,15.0,8.0,0,0,0,0
CYGK,2026-04-16T17:00:00.000Z,0.25,5.0,0,1,1,0
CYKP,2026-04-16T17:00:00.000Z,9.0,11.0,0,0,0,0
CYLD,2026-04-16T17:00:00.000Z,15.0,4.0,0,0,0,0
CYLH,2026-04-16T17:00:00.000Z,9.0,7.0,0,0,0,0
CYOO,2026-04-16T17:00:00.000Z,8.0,2.0,0,0,0,0
CYSB,2026-04-16T17:00:00.000Z,15.0,7.0,0,1,1,0
CYSN,2026-04-16T17:00:00.000Z,15.0,15.0,0,0,0,0
CYVO,2026-04-16T17:00:00.000Z,3.0,6.0,0,0,0,0
CYXL,2026-04-16T17:00:00.000Z,15.0,8.0,0,0,0,0
CYYB,2026-04-16T17:00:00.000Z,1.25,2.0,0,1,1,0
CYYH,2026-04-16T17:00:00.000Z,15.0,15.0,1,0,2,1
CYYU,2026-04-16T17:00:00.000Z,15.0,2.0,0,0,0,0
CYYW,2026-04-16T17:00:00.000Z,9.0,11.0,0,0,0,0
CZMD,2026-04-16T17:00:00.000Z,9.0,12.0,0,0,0,0
SAAC,2026-04-16T17:00:00.000Z,3.11,6.0,0,0,0,0
CZSJ,2026-04-16T17:00:00.000Z,9.0,7.0,0,0,0,0
CYCA,2026-04-16T17:00:00.000Z,9.0,17.0,0,0,0,0
CYAH,2026-04-16T17:00:00.000Z,9.0,8.0,0,0,0,0
CYBX,2026-04-16T17:00:00.000Z,0.25,9.0,0,1,1,0
CYSK,2026-04-16T17:00:00.000Z,15.0,16.0,0,0,0,0
CYDP,2026-04-16T17:00:00.000Z,15.0,22.0,0,0,1,0
CYLU,2026-04-16T17:00:00.000Z,6.0,19.0,1,0,2,1
CYED,2026-04-16T17:00:00.000Z,12.0,3.0,1,0,2,1
CYOD,2026-04-16T17:00:00.000Z,15.0,5.0,0,0,0,0
CYBQ,2026-04-16T17:00:00.000Z,9.0,3.0,0,0,0,0
CYMM,2026-04-16T17:00:00.000Z,9.0,2.0,0,0,0,0
CYVC,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYYL,2026-04-16T17:00:00.000Z,9.0,5.0,0,0,0,0
CBBC,2026-04-16T17:00:00.000Z,9.0,3.0,0,0,0,0
CYIN,2026-04-16T17:00:00.000Z,9.0,13.0,0,0,0,0
CYMA,2026-04-16T17:00:00.000Z,20.0,6.0,0,0,0,0
CYQU,2026-04-16T17:00:00.000Z,25.0,4.0,0,0,0,0
CYYD,2026-04-16T17:00:00.000Z,25.0,2.0,0,0,0,0
CYZY,2026-04-16T17:00:00.000Z,9.0,9.0,0,0,0,0
CZMT,2026-04-16T17:00:00.000Z,15.0,3.0,0,0,0,0
CYDQ,2026-04-16T17:00:00.000Z,9.0,7.0,0,0,0,0
CYFO,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYVL,2026-04-16T17:00:00.000Z,9.0,3.0,0,0,0,0
CYXQ,2026-04-16T17:00:00.000Z,30.0,0.0,0,0,0,0
DTTB,2026-04-16T17:00:00.000Z,4.97,14.0,0,0,0,0
DTTD,2026-04-16T17:00:00.000Z,4.97,12.0,0,0,0,0
DAOF,2026-04-16T17:00:00.000Z,4.35,3.0,0,0,0,0
FKYS,2026-04-16T17:00:00.000Z,4.97,3.0,0,0,0,0
FCPP,2026-04-16T17:00:00.000Z,4.97,10.0,1,0,2,1
FCOD,2026-04-16T17:00:00.000Z,4.97,2.0,0,0,0,0
FZAA,2026-04-16T17:00:00.000Z,4.97,0.0,1,0,2,1
VEGY,2026-04-16T17:00:00.000Z,2.49,8.0,0,1,1,0
VOCL,2026-04-16T17:00:00.000Z,3.11,3.0,0,0,0,0
GFLL,2026-04-16T17:00:00.000Z,3.11,8.0,0,0,0,0
VABB,2026-04-16T17:00:00.000Z,2.49,7.0,0,1,1,0
VOCI,2026-04-16T17:00:00.000Z,2.49,1.0,0,1,1,0
VOMM,2026-04-16T17:00:00.000Z,3.73,8.0,0,0,0,0
GQNO,2026-04-16T17:00:00.000Z,3.73,12.0,0,0,0,0
GAMB,2026-04-16T17:00:00.000Z,4.97,10.0,0,0,0,0
GAKD,2026-04-16T17:00:00.000Z,4.97,5.0,0,0,0,0
RCQC,2026-04-16T17:00:00.000Z,3.73,4.0,0,0,0,0
RCSS,2026-04-16T17:00:00.000Z,4.97,2.0,0,0,0,0
RCNN,2026-04-16T17:00:00.000Z,3.73,2.0,0,0,0,0
VOHS,2026-04-16T17:00:00.000Z,3.73,7.0,0,0,0,0
CYHM,2026-04-16T17:00:00.000Z,12.0,14.0,1,0,2,1
VOGO,2026-04-16T17:00:00.000Z,3.73,4.0,0,0,0,0
CYEV,2026-04-16T17:00:00.000Z,15.0,4.0,0,0,0,0
CYEK,2026-04-16T17:00:00.000Z,15.0,11.0,0,0,0,0
CYDF,2026-04-16T17:00:00.000Z,15.0,5.0,1,0,2,1
CYDC,2026-04-16T17:00:00.000Z,25.0,0.0,0,0,0,0
CYDB,2026-04-16T17:00:00.000Z,15.0,5.0,0,0,0,0
CYDA,2026-04-16T17:00:00.000Z,20.0,5.0,0,0,0,0
CYCY,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYCX,2026-04-16T17:00:00.000Z,15.0,3.0,0,0,0,0
CYCQ,2026-04-16T17:00:00.000Z,25.0,8.0,0,0,0,0
CYCP,2026-04-16T17:00:00.000Z,15.0,5.0,0,0,0,0
CYCG,2026-04-16T17:00:00.000Z,15.0,0.0,0,0,0,0
CYCD,2026-04-16T17:00:00.000Z,25.0,3.0,0,0,0,0
CYBV,2026-04-16T17:00:00.000Z,15.0,10.0,0,0,0,0
CYBU,2026-04-16T17:00:00.000Z,9.0,14.0,0,0,0,0
CYBR,2026-04-16T17:00:00.000Z,4.0,26.0,1,0,3,1
CYBL,2026-04-16T17:00:00.000Z,30.0,7.0,0,0,0,0
CYBD,2026-04-16T17:00:00.000Z,8.0,4.0,0,0,0,0
CYAZ,2026-04-16T17:00:00.000Z,15.0,4.0,0,0,0,0
CYAS,2026-04-16T17:00:00.000Z,15.0,26.0,1,0,3,1
CWSW,2026-04-16T17:00:00.000Z,5.0,11.0,1,0,2,1
CWLY,2026-04-16T17:00:00.000Z,9.0,6.0,0,0,0,0
CWGZ,2026-04-16T17:00:00.000Z,25.0,0.0,0,0,0,0
CWAE,2026-04-16T17:00:00.000Z,15.0,0.0,0,0,0,0
CWEU,2026-04-16T17:00:00.000Z,15.0,2.0,0,0,0,0
CYOJ,2026-04-16T17:00:00.000Z,15.0,6.0,0,0,0,0
CYNE,2026-04-16T17:00:00.000Z,9.0,8.0,0,0,0,0
CYMU,2026-04-16T17:00:00.000Z,4.0,25.0,1,0,3,1
SURV,2026-04-16T17:00:00.000Z,3.11,10.0,0,1,1,0
CYLW,2026-04-16T17:00:00.000Z,9.0,2.0,0,0,0,0
CYLT,2026-04-16T17:00:00.000Z,12.0,5.0,1,0,2,1
CYLL,2026-04-16T17:00:00.000Z,2.0,11.0,1,1,3,1
CYLJ,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYKY,2026-04-16T17:00:00.000Z,0.5,11.0,1,1,3,1
CYKJ,2026-04-16T17:00:00.000Z,9.0,2.0,0,0,0,0
CYKD,2026-04-16T17:00:00.000Z,15.0,4.0,0,0,0,0
SBJE,2026-04-16T17:00:00.000Z,4.97,12.0,1,0,2,1
CYKA,2026-04-16T17:00:00.000Z,40.0,13.0,0,0,0,0
CYIV,2026-04-16T17:00:00.000Z,9.0,9.0,0,0,0,0
CYIO,2026-04-16T17:00:00.000Z,5.0,0.0,1,0,2,1
CYHU,2026-04-16T17:00:00.000Z,8.0,2.0,0,0,0,0
CYHE,2026-04-16T17:00:00.000Z,9.0,4.0,0,0,0,0
OYAA,2026-04-16T17:00:00.000Z,4.97,13.0,0,0,0,0
CYGX,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYGW,2026-04-16T17:00:00.000Z,9.0,7.0,0,0,0,0
CYGV,2026-04-16T17:00:00.000Z,9.0,3.0,0,1,1,0
CYGH,2026-04-16T17:00:00.000Z,15.0,0.0,0,0,0,0
CYGE,2026-04-16T17:00:00.000Z,20.0,7.0,0,0,0,0
CYVM,2026-04-16T17:00:00.000Z,0.5,15.0,1,1,3,1
CYUX,2026-04-16T17:00:00.000Z,6.0,18.0,1,0,2,1
CYTH,2026-04-16T17:00:00.000Z,15.0,9.0,0,0,0,0
CYSM,2026-04-16T17:00:00.000Z,15.0,8.0,0,0,0,0
CYSF,2026-04-16T17:00:00.000Z,9.0,6.0,0,0,0,0
CYRV,2026-04-16T17:00:00.000Z,9.0,11.0,0,0,0,0
CYQZ,2026-04-16T17:00:00.000Z,9.0,4.0,0,0,0,0
CYQT,2026-04-16T17:00:00.000Z,20.0,7.0,0,0,0,0
CYQR,2026-04-16T17:00:00.000Z,0.5,12.0,1,1,3,1
CYQK,2026-04-16T17:00:00.000Z,20.0,9.0,0,0,0,0
CYQH,2026-04-16T17:00:00.000Z,40.0,11.0,0,0,0,0
VAOZ,2026-04-16T17:00:00.000Z,3.73,5.0,0,0,0,0
CYQD,2026-04-16T17:00:00.000Z,9.0,7.0,0,0,0,0
CYPY,2026-04-16T17:00:00.000Z,9.0,6.0,0,0,0,0
CYPX,2026-04-16T17:00:00.000Z,9.0,13.0,0,0,0,0
CYPW,2026-04-16T17:00:00.000Z,30.0,4.0,0,0,0,0
CYPH,2026-04-16T17:00:00.000Z,9.0,2.0,0,0,0,0
CYPG,2026-04-16T17:00:00.000Z,15.0,13.0,0,0,0,0
CYPE,2026-04-16T17:00:00.000Z,9.0,7.0,0,0,0,0
CYPA,2026-04-16T17:00:00.000Z,15.0,16.0,0,0,0,0
CYOY,2026-04-16T17:00:00.000Z,0.75,4.0,1,1,3,1
CZFN,2026-04-16T17:00:00.000Z,15.0,2.0,0,0,0,0
CZFA,2026-04-16T17:00:00.000Z,30.0,3.0,0,0,0,0
CZEM,2026-04-16T17:00:00.000Z,15.0,7.0,0,0,0,0
CYZW,2026-04-16T17:00:00.000Z,30.0,5.0,0,0,0,0
CYZU,2026-04-16T17:00:00.000Z,15.0,3.0,0,0,0,0
CYZT,2026-04-16T17:00:00.000Z,20.0,6.0,0,0,0,0
CYZR,2026-04-16T17:00:00.000Z,9.0,8.0,1,0,2,1
CYZP,2026-04-16T17:00:00.000Z,9.0,10.0,0,0,0,0
CYZH,2026-04-16T17:00:00.000Z,9.0,4.0,0,0,0,0
CYZE,2026-04-16T17:00:00.000Z,9.0,5.0,0,0,0,0
CYYG,2026-04-16T17:00:00.000Z,15.0,9.0,0,0,0,0
CYYF,2026-04-16T17:00:00.000Z,15.0,12.0,0,0,0,0
CYYE,2026-04-16T17:00:00.000Z,30.0,4.0,0,0,0,0
CYXT,2026-04-16T17:00:00.000Z,15.0,11.0,0,0,0,0
CYXJ,2026-04-16T17:00:00.000Z,60.0,7.0,0,0,0,0
CYXH,2026-04-16T17:00:00.000Z,2.5,10.0,1,1,3,1
CYXE,2026-04-16T17:00:00.000Z,15.0,20.0,0,0,0,0
CYXC,2026-04-16T17:00:00.000Z,12.0,16.0,0,0,0,0
CYWH,2026-04-16T17:00:00.000Z,15.0,5.0,0,0,0,0
MHRO,2026-04-16T17:00:00.000Z,4.97,16.0,0,0,0,0
CYVT,2026-04-16T17:00:00.000Z,9.0,3.0,0,0,0,0
CYVQ,2026-04-16T17:00:00.000Z,30.0,3.0,1,0,2,1
WMSA,2026-04-16T17:00:00.000Z,5.59,2.0,0,0,0,0
WMKI,2026-04-16T17:00:00.000Z,4.97,3.0,0,0,0,0
WMKB,2026-04-16T17:00:00.000Z,4.35,3.0,0,0,0,0
WMBA,2026-04-16T17:00:00.000Z,5.59,3.0,0,0,0,0
WMAU,2026-04-16T17:00:00.000Z,5.59,5.0,0,0,0,0
WMKP,2026-04-16T17:00:00.000Z,3.73,2.0,1,0,2,1
SUSO,2026-04-16T17:00:00.000Z,4.97,9.0,0,0,0,0
SMZO,2026-04-16T17:00:00.000Z,4.97,14.0,0,0,0,0
VOML,2026-04-16T17:00:00.000Z,3.73,0.0,1,0,2,1
SKCC,2026-04-16T17:00:00.000Z,4.35,7.0,0,0,0,0
SKBO,2026-04-16T17:00:00.000Z,5.59,5.0,0,0,0,0
SKBG,2026-04-16T17:00:00.000Z,1.24,3.0,0,1,1,0
GQPP,2026-04-16T17:00:00.000Z,3.73,16.0,0,0,0,0
SCRM,2026-04-16T17:00:00.000Z,0.12,21.0,0,1,2,1
SAZM,2026-04-16T17:00:00.000Z,2.49,6.0,1,1,3,1
ZSOF,2026-04-16T17:00:00.000Z,1.12,2.0,0,1,1,0
ZHHH,2026-04-16T17:00:00.000Z,3.11,4.0,0,0,0,0
CYZX,2026-04-16T17:00:00.000Z,15.0,6.0,0,0,0,0
CYZV,2026-04-16T17:00:00.000Z,3.0,7.0,0,0,0,0
CYZF,2026-04-16T17:00:00.000Z,4.0,5.0,1,0,2,1
CYYZ,2026-04-16T17:00:00.000Z,15.0,11.0,0,0,0,0
CYYT,2026-04-16T17:00:00.000Z,15.0,11.0,0,0,0,0
PAOO,2026-04-16T16:59:00.000Z,0.75,8.0,1,1,3,1
PABA,2026-04-16T16:56:00.000Z,9.0,4.0,1,0,2,1
PAGL,2026-04-16T16:56:00.000Z,7.0,7.0,1,0,2,1
PAGM,2026-04-16T16:56:00.000Z,7.0,24.0,1,0,3,1
PAPH,2026-04-16T16:56:00.000Z,0.25,6.0,1,1,3,1
PARS,2026-04-16T16:56:00.000Z,1.75,3.0,1,1,3,1
PHNY,2026-04-16T16:56:00.000Z,5.0,4.0,0,0,0,0
PAVC,2026-04-16T16:56:00.000Z,6.0,0.0,0,0,0,0
PFCL,2026-04-16T16:56:00.000Z,0.25,9.0,0,1,1,0
PFKT,2026-04-16T16:56:00.000Z,9.0,19.0,1,0,2,1
PATL,2026-04-16T16:56:00.000Z,2.5,2.0,1,1,3,1
KLAN,2026-04-16T16:56:00.000Z,2.5,5.0,1,1,3,1
KNYG,2026-04-16T16:56:00.000Z,7.0,9.0,0,0,0,0
KSMP,2026-04-16T16:56:00.000Z,0.25,4.0,0,1,1,0
KSFZ,2026-04-16T16:56:00.000Z,9.0,6.0,0,0,0,0
PAIW,2026-04-16T16:56:00.000Z,5.0,15.0,0,0,0,0
PAOH,2026-04-16T16:56:00.000Z,4.0,0.0,1,0,2,1
PFSH,2026-04-16T16:56:00.000Z,9.0,9.0,1,0,2,1
KMBL,2026-04-16T16:56:00.000Z,5.0,0.0,0,0,0,0
PABL,2026-04-16T16:56:00.000Z,9.0,4.0,1,0,2,1
KRUT,2026-04-16T16:56:00.000Z,8.0,5.0,0,0,0,0
KNBC,2026-04-16T16:56:00.000Z,7.0,0.0,0,0,0,0
PAPE,2026-04-16T16:56:00.000Z,8.0,0.0,0,0,0,0
PAPN,2026-04-16T16:56:00.000Z,5.0,8.0,1,1,3,1
PFNO,2026-04-16T16:56:00.000Z,9.0,16.0,0,0,0,0
KHEY,2026-04-16T16:55:00.000Z,9.0,5.0,0,0,0,0
K9L2,2026-04-16T16:55:00.000Z,8.0,13.0,0,0,0,0
PAFR,2026-04-16T16:55:00.000Z,9.0,0.0,0,0,0,0
KXMR,2026-04-16T16:55:00.000Z,6.0,9.0,0,0,0,0
KU19,2026-04-16T16:55:00.000Z,8.0,24.0,0,0,1,0
PACZ,2026-04-16T16:55:00.000Z,8.0,0.0,1,0,2,1
PASV,2026-04-16T16:55:00.000Z,5.0,4.0,1,0,2,1
KNTD,2026-04-16T16:55:00.000Z,7.0,9.0,0,0,0,0
KMUO,2026-04-16T16:55:00.000Z,8.0,15.0,0,0,0,0
PTYA,2026-04-16T16:55:00.000Z,12.0,10.0,0,0,0,0
KLFI,2026-04-16T16:55:00.000Z,9.0,16.0,0,0,0,0
KSLI,2026-04-16T16:55:00.000Z,7.0,5.0,0,0,0,0
KVGN,2026-04-16T16:55:00.000Z,9.0,13.0,0,0,0,0
KEDW,2026-04-16T16:55:00.000Z,90.0,17.0,0,0,0,0
KTQS,2026-04-16T16:55:00.000Z,9.0,9.0,0,0,0,0
KPSM,2026-04-16T16:55:00.000Z,7.0,7.0,0,1,1,0
PGUA,2026-04-16T16:55:00.000Z,8.0,22.0,0,0,1,0
RKJK,2026-04-16T16:55:00.000Z,6.0,4.0,0,0,0,0
KWAL,2026-04-16T16:54:00.000Z,8.0,7.0,0,0,0,0
PHNG,2026-04-16T16:54:00.000Z,7.0,0.0,0,0,0,0
KOFP,2026-04-16T16:54:00.000Z,9.0,8.0,0,0,0,0
KBOS,2026-04-16T16:54:00.000Z,6.0,10.0,0,0,0,0
KPHF,2026-04-16T16:54:00.000Z,8.0,9.0,0,0,0,0
KHVN,2026-04-16T16:53:00.000Z,9.0,7.0,0,0,0,0
KGRR,2026-04-16T16:53:00.000Z,3.0,0.0,1,0,2,1
KGRB,2026-04-16T16:53:00.000Z,6.0,6.0,0,0,0,0
KMTJ,2026-04-16T16:53:00.000Z,9.0,15.0,0,0,0,0
PAKW,2026-04-16T16:53:00.000Z,8.0,4.0,1,0,2,1
KSQL,2026-04-16T16:53:00.000Z,30.0,10.0,0,0,0,0
PAEN,2026-04-16T16:53:00.000Z,8.0,7.0,1,0,2,1
KMSS,2026-04-16T16:53:00.000Z,8.0,0.0,0,0,0,0
KRKP,2026-04-16T16:53:00.000Z,7.0,15.0,0,0,0,0
KEYE,2026-04-16T16:53:00.000Z,3.0,9.0,0,0,0,0
KFYV,2026-04-16T16:53:00.000Z,8.0,14.0,0,0,0,0
PASI,2026-04-16T16:53:00.000Z,7.0,4.0,1,0,2,1
KPTK,2026-04-16T16:53:00.000Z,8.0,11.0,1,0,2,1
KTCL,2026-04-16T16:53:00.000Z,8.0,3.0,0,0,0,0
MMCZ,2026-04-16T16:53:00.000Z,8.0,10.0,0,0,0,0
PKMR,2026-04-16T16:53:00.000Z,15.0,0.0,0,0,0,0
PAJN,2026-04-16T16:53:00.000Z,8.0,6.0,1,0,2,1
PADE,2026-04-16T16:53:00.000Z,9.0,12.0,0,0,0,0
KLVJ,2026-04-16T16:53:00.000Z,9.0,8.0,0,0,0,0
KMSO,2026-04-16T16:53:00.000Z,9.0,6.0,0,0,0,0
KNUI,2026-04-16T16:53:00.000Z,9.0,6.0,0,0,0,0
KDET,2026-04-16T16:53:00.000Z,6.0,9.0,1,0,2,1
PAPB,2026-04-16T16:53:00.000Z,9.0,10.0,0,0,0,0
KBGR,2026-04-16T16:53:00.000Z,8.0,6.0,0,1,1,0
KGVL,2026-04-16T16:53:00.000Z,8.0,9.0,0,0,0,0
PASC,2026-04-16T16:53:00.000Z,3.0,10.0,0,1,1,0
KSBM,2026-04-16T16:53:00.000Z,4.0,5.0,0,0,0,0
KTVC,2026-04-16T16:53:00.000Z,0.5,3.0,0,1,1,0
KDVN,2026-04-16T16:52:00.000Z,9.0,9.0,0,0,0,0
KDDC,2026-04-16T16:52:00.000Z,8.0,19.0,0,0,0,0
KCID,2026-04-16T16:52:00.000Z,9.0,10.0,0,0,0,0
KSBD,2026-04-16T16:52:00.000Z,7.0,0.0,0,0,0,0
KHUT,2026-04-16T16:52:00.000Z,8.0,10.0,0,0,0,0
KCMH,2026-04-16T16:51:00.000Z,9.0,14.0,0,0,0,0
KLPC,2026-04-16T16:51:00.000Z,9.0,6.0,0,0,0,0
KNJM,2026-04-16T16:51:00.000Z,7.0,15.0,0,0,0,0
EGHC,2026-04-16T16:50:00.000Z,2.49,16.0,0,1,1,0
KHUM,2026-04-16T16:50:00.000Z,7.0,4.0,0,0,0,0
KOMN,2026-04-16T16:50:00.000Z,7.0,7.0,0,0,0,0
PTKK,2026-04-16T16:50:00.000Z,15.0,6.0,0,0,0,0
PTRO,2026-04-16T16:50:00.000Z,13.0,7.0,0,0,0,0
KVQQ,2026-04-16T16:50:00.000Z,8.0,6.0,0,0,0,0
LTBF,2026-04-16T16:50:00.000Z,5.59,8.0,0,0,0,0
MUCU,2026-04-16T16:50:00.000Z,5.59,3.0,0,0,0,0
MUHG,2026-04-16T16:50:00.000Z,5.59,13.0,0,0,0,0
MUHA,2026-04-16T16:50:00.000Z,5.59,6.0,0,0,0,0
MUSC,2026-04-16T16:50:00.000Z,5.59,10.0,0,0,0,0
MUVR,2026-04-16T16:50:00.000Z,5.59,10.0,0,0,0,0
KDPG,2026-04-16T16:50:00.000Z,30.0,14.0,0,0,0,0
EGOV,2026-04-16T16:50:00.000Z,3.11,20.0,1,0,2,1
EGOP,2026-04-16T16:50:00.000Z,2.11,9.0,0,1,1,0
PAPT,2026-04-16T16:49:00.000Z,2.0,8.0,1,1,3,1
MMCB,2026-04-16T16:49:00.000Z,5.0,4.0,0,0,0,0
MMBT,2026-04-16T16:48:00.000Z,8.0,8.0,0,0,0,0
KMWN,2026-04-16T16:48:00.000Z,0.06,33.0,0,1,2,1
MMSP,2026-04-16T16:48:00.000Z,8.0,2.0,0,0,0,0
PALP,2026-04-16T16:48:00.000Z,7.0,5.0,0,0,0,0
KTIX,2026-04-16T16:47:00.000Z,7.0,7.0,0,0,0,0
MMVA,2026-04-16T16:47:00.000Z,7.0,8.0,0,0,0,0
KSUA,2026-04-16T16:47:00.000Z,7.0,9.0,0,0,0,0
KAQV,2026-04-16T16:47:00.000Z,9.0,5.0,0,0,0,0
MMGL,2026-04-16T16:45:00.000Z,8.0,3.0,0,0,0,0
MMZH,2026-04-16T16:45:00.000Z,6.0,7.0,0,0,0,0
MMCE,2026-04-16T16:45:00.000Z,7.0,15.0,0,0,0,0
PAKU,2026-04-16T16:45:00.000Z,3.0,9.0,1,1,3,1
MMSL,2026-04-16T16:45:00.000Z,9.0,5.0,0,0,0,0
MMMA,2026-04-16T16:44:00.000Z,8.0,12.0,0,0,0,0
MMCT,2026-04-16T16:43:00.000Z,8.0,13.0,0,0,0,0
MMEP,2026-04-16T16:43:00.000Z,12.0,0.0,0,0,0,0
MMAS,2026-04-16T16:43:00.000Z,9.0,5.0,0,0,0,0
MMMX,2026-04-16T16:43:00.000Z,7.0,0.0,0,0,0,0
MMUN,2026-04-16T16:43:00.000Z,7.0,8.0,0,0,0,0
MMCV,2026-04-16T16:43:00.000Z,7.0,10.0,0,0,0,0
MMPB,2026-04-16T16:43:00.000Z,8.0,6.0,0,0,0,0
MMTG,2026-04-16T16:43:00.000Z,7.0,8.0,0,0,0,0
MMTL,2026-04-16T16:43:00.000Z,7.0,12.0,0,0,0,0
MMQT,2026-04-16T16:42:00.000Z,7.0,4.0,0,0,0,0
MMCM,2026-04-16T16:42:00.000Z,7.0,18.0,0,0,0,0
MMPA,2026-04-16T16:42:00.000Z,5.0,6.0,0,0,0,0
MMZC,2026-04-16T16:42:00.000Z,8.0,10.0,0,0,0,0
MMTM,2026-04-16T16:41:00.000Z,6.0,7.0,0,0,0,0
MMDO,2026-04-16T16:41:00.000Z,12.0,3.0,0,0,0,0
MMPR,2026-04-16T16:41:00.000Z,15.0,7.0,0,0,0,0
MMMD,2026-04-16T16:41:00.000Z,7.0,12.0,0,0,0,0
MMMZ,2026-04-16T16:41:00.000Z,14.0,3.0,0,0,0,0
MMPG,2026-04-16T16:41:00.000Z,6.0,10.0,0,0,0,0
MMMT,2026-04-16T16:40:00.000Z,8.0,5.0,0,0,0,0
MMIA,2026-04-16T16:40:00.000Z,6.0,0.0,0,0,0,0
MMMY,2026-04-16T16:40:00.000Z,4.0,5.0,0,0,0,0
MMTO,2026-04-16T16:40:00.000Z,6.0,9.0,0,0,0,0
MMVR,2026-04-16T16:40:00.000Z,7.0,7.0,0,0,0,0
MMMM,2026-04-16T16:40:00.000Z,7.0,6.0,0,0,0,0
MMAN,2026-04-16T16:40:00.000Z,5.0,3.0,0,0,0,0
MMTJ,2026-04-16T16:40:00.000Z,8.0,3.0,0,0,0,0
MMNL,2026-04-16T16:40:00.000Z,7.0,10.0,0,0,0,0
MMSM,2026-04-16T16:40:00.000Z,9.0,6.0,0,0,0,0
MMRX,2026-04-16T16:40:00.000Z,8.0,8.0,0,0,0,0
MMTP,2026-04-16T16:40:00.000Z,7.0,0.0,0,0,0,0
