airport,datetime,visibility,wind_speed,storm,ifr,severity,bad_weather
PAQT,2026-04-16T17:18:00.000Z,7.0,6.0,0,0,0,0
CWSA,2026-04-16T17:18:00.000Z,0.5,10.0,0,1,1,0
KBIV,2026-04-16T17:17:00.000Z,6.0,5.0,0,0,0,0
PABR,2026-04-16T17:16:00.000Z,3.0,5.0,0,0,0,0
KFPK,2026-04-16T17:15:00.000Z,3.0,5.0,1,1,3,1
KFWB,2026-04-16T17:15:00.000Z,8.0,0.0,0,0,0,0
KSPR,2026-04-16T17:15:00.000Z,8.0,7.0,0,0,0,0
KOGS,2026-04-16T17:15:00.000Z,4.0,6.0,0,0,0,0
KW40,2026-04-16T17:15:00.000Z,7.0,10.0,0,0,0,0
KWYS,2026-04-16T17:15:00.000Z,0.25,7.0,1,1,3,1
KUSE,2026-04-16T17:15:00.000Z,9.0,7.0,0,0,0,0
KN40,2026-04-16T17:15:00.000Z,9.0,8.0,0,0,0,0
KSUZ,2026-04-16T17:15:00.000Z,5.0,13.0,0,0,0,0
KDBN,2026-04-16T17:15:00.000Z,9.0,5.0,0,0,0,0
KWBF,2026-04-16T17:15:00.000Z,3.0,8.0,0,0,0,0
KAFO,2026-04-16T17:15:00.000Z,1.0,13.0,1,1,3,1
KORK,2026-04-16T17:15:00.000Z,6.0,13.0,0,0,0,0
KOSC,2026-04-16T17:15:00.000Z,8.0,2.0,1,0,2,1
KVOA,2026-04-16T17:15:00.000Z,8.0,4.0,0,0,0,0
KPZZ,2026-04-16T17:15:00.000Z,9.0,5.0,0,0,0,0
KLMO,2026-04-16T17:15:00.000Z,7.0,8.0,0,0,0,0
K0R0,2026-04-16T17:15:00.000Z,5.0,4.0,1,0,2,1
KDZB,2026-04-16T17:15:00.000Z,5.0,6.0,0,0,0,0
KOIN,2026-04-16T17:15:00.000Z,2.5,16.0,1,1,3,1
KORB,2026-04-16T17:15:00.000Z,8.0,4.0,0,0,0,0
KINF,2026-04-16T17:15:00.000Z,7.0,5.0,0,0,0,0
KPHT,2026-04-16T17:15:00.000Z,9.0,13.0,0,0,0,0
KU69,2026-04-16T17:15:00.000Z,5.0,21.0,0,0,1,0
K8D4,2026-04-16T17:15:00.000Z,6.0,4.0,1,0,2,1
KIKT,2026-04-16T17:15:00.000Z,4.0,12.0,0,0,0,0
KATA,2026-04-16T17:15:00.000Z,9.0,7.0,0,0,0,0
KD95,2026-04-16T17:15:00.000Z,5.0,4.0,1,0,2,1
KFOZ,2026-04-16T17:15:00.000Z,9.0,9.0,0,0,0,0
